# Precomputed monotone cubic spline for Pb photon flux
# Representation: log(xgamma) = c0 + c1*dx + c2*dx^2 + c3*dx^3
# where dx = log(x) - log(x_left), valid on [x_left, x_right)
# columns: x_left x_right log_x_left c0 c1 c2 c3
# source: pb_xgamma_table.dat
1.0000000000000000e-08 1.0001842300000000e-08 -1.8420680743952367e+01 7.0980849021161578e+00 -3.5900946244784340e-04 -2.0891238754863123e-05 2.0239561999709789e-06
1.0001842300000000e-08 1.0003684900000000e-08 -1.8420496530920627e+01 7.0980848359812274e+00 -3.5901715911865347e-04 -2.0856036745505864e-05 -1.9109815918759643e-04
1.0003684900000000e-08 1.0005527800000000e-08 -1.8420312321828131e+01 7.0980847698462934e+00 -3.5902486231545260e-04 -7.3770563864011384e-05 2.8687240980989875e-01
1.0005527800000000e-08 1.0007371100000001e-08 -1.8420128116678949e+01 7.0980847037113550e+00 -3.5902283808554575e-04 8.4817160806691474e-05 -2.8718514221943731e-01
1.0007371100000001e-08 1.0009214699999999e-08 -1.8419943905484516e+01 7.0980846375764122e+00 -3.5902082536319873e-04 -2.0980070243920177e-05 -4.8627717734543972e-05
1.0009214699999999e-08 1.0011058600000000e-08 -1.8419759698245219e+01 7.0980845714414649e+00 -3.5902855967499017e-04 -7.3788349588148542e-05 2.8658344640557404e-01
1.0011058600000000e-08 1.0012902900000001e-08 -1.8419575494965112e+01 7.0980845053065140e+00 -3.5902657172862194e-04 3.1828091965892015e-05 -2.1144388883487662e-04
1.0012902900000001e-08 1.0014747600000000e-08 -1.8419391285661153e+01 7.0980844391715578e+00 -3.5901486719210637e-04 1.3742054300281054e-04 -5.7363349257956486e-01
1.0014747600000000e-08 1.0016592500000000e-08 -1.8419207070342914e+01 7.0980843730365972e+00 -3.5902263649952487e-04 -1.7957097772028908e-04 5.7349210767502246e-01
1.0016592500000000e-08 1.0018437800000000e-08 -1.8419022868986840e+01 7.0980843069016322e+00 -3.5903041493295690e-04 3.1768447812844957e-05 -3.5339428927299167e-04
1.0018437800000000e-08 1.0020283500000001e-08 -1.8418838661628268e+01 7.0980842407666636e+00 -3.5901874694373875e-04 8.4482209227460954e-05 -2.8687209668910202e-01
1.0020283500000001e-08 1.0022129500000000e-08 -1.8418654448276769e+01 7.0980841746316905e+00 -3.5901682607609108e-04 -1.2995389597306561e-01 7.0535334483319264e+02
1.0022129500000000e-08 1.0023975800000000e-08 -1.8418470238919820e+01 7.0980841084967121e+00 -3.3508982365192179e-04 3.4102077063265912e-01 -1.2341883735134204e+03
1.0023975800000000e-08 1.0025822500000000e-08 -1.8418286033561465e+01 7.0980840506286036e+00 -3.3508812778318766e-04 -2.5977602327467103e-01 7.0504551216321272e+02
1.0025822500000000e-08 1.0027669499999999e-08 -1.8418101822231495e+01 7.0980839844936172e+00 -3.5902085126405110e-04 -7.4019215956643963e-05 2.8629772701309802e-01
1.0027669499999999e-08 1.0029516899999999e-08 -1.8417917614911872e+01 7.0980839183586264e+00 -3.5901897677427026e-04 8.4265525305716007e-05 -2.8667945174515924e-01
1.0029516899999999e-08 1.0031364599999999e-08 -1.8417733401636053e+01 7.0980838522236320e+00 -3.5901711611557640e-04 -2.1359835277886855e-05 2.3125404860487061e-05
1.0031364599999999e-08 1.0033212600000000e-08 -1.8417549192382314e+01 7.0980837860886323e+00 -3.5902498312006300e-04 -7.4036712889873483e-05 2.8601044163437644e-01
1.0033212600000000e-08 1.0035061000000000e-08 -1.8417364987154681e+01 7.0980837199536291e+00 -3.5902314467273064e-04 8.4087394263756892e-05 -2.8639171339932384e-01
1.0035061000000000e-08 1.0036909700000000e-08 -1.8417180775992122e+01 7.0980836538186214e+00 -3.5902132003590848e-04 -2.1404570722224068e-05 -1.1899732760439244e-04
1.0036909700000000e-08 1.0038758700000001e-08 -1.8416996568867383e+01 7.0980835876836093e+00 -3.5902921789831313e-04 -7.4119716657602484e-05 2.8593723280720468e-01
1.0038758700000001e-08 1.0040608100000000e-08 -1.8416812365784487e+01 7.0980835215485927e+00 -3.5902741784256306e-04 3.1271341077409371e-05 -2.8058636193007232e-04
1.0040608100000000e-08 1.0042457900000000e-08 -1.8416628156787894e+01 7.0980834554135717e+00 -3.5901592548121170e-04 1.3654741483803029e-04 -5.7205529621568929e-01
1.0042457900000000e-08 1.0044307899999999e-08 -1.8416443941887120e+01 7.0980833892785462e+00 -3.5902385565622251e-04 -2.3222009805187488e-04 8.5773679659403634e-01
1.0044307899999999e-08 1.0046158400000000e-08 -1.8416259741003447e+01 7.0980833231435163e+00 -3.5902209701089023e-04 1.1487997828634269e-01 -6.2315848565125054e+02
1.0046158400000000e-08 1.0048009100000000e-08 -1.8416075524273225e+01 7.0980832570084820e+00 -3.8013862119254692e-04 -3.8715612737833444e-01 1.4011098567923891e+03
1.0048009100000000e-08 1.0049860200000001e-08 -1.8415891321568111e+01 7.0980831826065636e+00 -3.8014738507972408e-04 2.2932630972420029e-01 -6.2237961952989087e+02
